expense_id,expense_date,category,department,description,amount
EXP-00517,2024-09-20,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3444.02
EXP-00518,2024-09-20,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2231.58
EXP-00519,2024-09-20,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1941.97
EXP-00520,2024-09-21,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3504.49
EXP-00521,2024-09-21,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2136.06
EXP-00522,2024-09-21,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1819.79
EXP-00523,2024-09-22,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3583.4
EXP-00524,2024-09-22,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2280.39
EXP-00525,2024-09-22,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1886.32
EXP-00526,2024-09-23,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3431.47
EXP-00527,2024-09-23,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2211.35
EXP-00528,2024-09-23,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1814.49
EXP-00529,2024-09-24,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3499.46
EXP-00530,2024-09-24,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2128.99
EXP-00531,2024-09-24,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1826.09
EXP-00532,2024-09-25,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3413.24
EXP-00533,2024-09-25,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2186.94
EXP-00534,2024-09-25,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1925.05
EXP-00535,2024-09-26,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3568.23
EXP-00536,2024-09-26,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2276.05
EXP-00537,2024-09-26,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1897.24
EXP-00538,2024-09-27,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3419.89
EXP-00539,2024-09-27,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2173.12
EXP-00540,2024-09-27,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1854.32
EXP-00541,2024-09-28,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3497.61
EXP-00542,2024-09-28,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2246.21
EXP-00543,2024-09-28,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1912.05
EXP-00544,2024-09-29,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3514.57
EXP-00545,2024-09-29,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2181.13
EXP-00546,2024-09-29,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1879.12
EXP-00547,2024-09-30,Warehousing & Fulfillment,Supply Chain,Cross-docking and inventory sorting facility leases,3596.01
EXP-00548,2024-09-30,Technology & Hosting,Engineering,AWS cloud cluster and CDN traffic bandwidth,2293.25
EXP-00549,2024-09-30,General & Admin,Corporate Operations,Executive staff payroll and compliance legal fees,1916.44
